PX	Instrument
PXD000001	LTQ Orbitrap Velos
PXD000002	Thermo LTQ Velos
PXD000004	QExactive
PXD000006	LTQ Orbitrap
PXD000008	QToF-Ultima
PXD000010	Thermo Finnigan LTQ
PXD000011	LTQ-Orbitrap
PXD000012	LCQ Classic
PXD000013	LTQ-Orbitrap
PXD000015	amaZon ETD
PXD000016	LTQ-Orbitrap
PXD000018	LTQ Velos
PXD000019	LTQ-Orbitrap
PXD000020	Triple TOF 5600
PXD000021	LTQ-Orbitrap
PXD000023	LTQ-Orbitrap
PXD000024	LTQ-Orbitrap
PXD000025	Triple TOF
PXD000025	LTQ Orbitrap
PXD000026	Q-Tof Micro (Waters)
PXD000027	Synapt MS
PXD000030	ultraflex TOF/TOF
PXD000035	Synapt HDMS
PXD000039	TripleTOF 5600
PXD000041	LTQ-Orbitrap
PXD000043	HCTultra PTM
PXD000045	LTQ-Orbitrap
PXD000047	LTQ Orbitrap
PXD000050	LTQ Orbitrap Velos
PXD000051	LTQ Orbitrap Velos
PXD000053	LTQ Orbitrap
PXD000054	LTQ-Orbitrap
PXD000055	LTQ Orbitrap
PXD000057	HCT ultra ETD II
PXD000057	LTQ Orbitrap
PXD000068	LTQ Orbitrap
PXD000069	LTQ
PXD000070	LTQ Orbitrap Velos ETD
PXD000072	LTQ Orbitrap Velos
PXD000073	LTQ Orbitrap Discovery
PXD000073	LTQ Orbitrap Velos
PXD000076	QSTAR-XL
PXD000083	LTQ Orbitrap
PXD000090	LTQ-Orbitrap
PXD000094	LTQ Orbitrap
PXD000095	LTQ Orbitrap
PXD000107	LTQ-Orbitrap Velos pro
PXD000115	LTQ Orbitrap
PXD000117	LTQ Orbitrap
PXD000118	LTQ Velos Pro
PXD000118	LTQ FT Ultra
PXD000119	esquire 6000
PXD000122	LTQ Orbitrap velos
PXD000124	LTQ-Orbitrap
PXD000126	MALDI UltraFlex
PXD000127	LTQ Orbitrap
PXD000129	LTQ FT Ultra
PXD000129	LTQ
PXD000130	LTQ-Orbitrap
PXD000132	ultraflex TOF/TOF
PXD000137	LTQ Orbitrap
PXD000142	Esquire
PXD000145	HCTultra
PXD000146	LTQ-Orbitrap
PXD000152	Q-Tof micro
PXD000155	LTQ Velos
PXD000157	LTQ Orbitrap
PXD000160	LTQ Orbitrap
PXD000161	Q-exactive
PXD000162	IonTrap XCT Ultra
PXD000162	4800 Plus MALDI TOF/TOF
PXD000176	LTQ-Orbitrap
PXD000180	LTQ Orbitrap
PXD000184	micrOTOF-Q II
PXD000185	LTQ-Orbitrap
PXD000187	1200 series LC/MSD SL
PXD000189	LTQ-Orbitrap Velos pro
PXD000190	Q-TOF
PXD000190	synapt G2 HDMS
PXD000196	LTQ-Orbitrap
